Aetobatus,flagellum,EN
Aetobatus,ocellatus,VU
Aetomylaeus,maculatus,EN
Aetomylaeus,nichofii,VU
Aetomylaeus,vespertilio,EN
Alopias,pelagicus,VU
Alopias,superciliosus,VU
Alopias,vulpinus,VU
Amblyraja,radiata,VU
Anoxypristis,cuspidata,EN
Aptychotrema,timorensis,VU
Atelomycterus,baliensis,VU
Atlantoraja,castelnaui,EN
Atlantoraja,cyclophora,VU
Atlantoraja,platana,VU
Aulohalaelurus,kanakorum,VU
Bathyraja,griseocauda,EN
Benthobatis,kreffti,VU
Benthobatis,yangi,VU
Beringraja,pulchra,VU
Brachaelurus,colcloughi,VU
Carcharhinus,albimarginatus,VU
Carcharhinus,borneensis,EN
Carcharhinus,hemiodon,CR
Carcharhinus,leiodon,VU
Carcharhinus,longimanus,VU
Carcharhinus,obscurus,VU
Carcharhinus,plumbeus,VU
Carcharhinus,signatus,VU
Carcharias,taurus,VU
Carcharodon,carcharias,VU
Centrophorus,harrissoni,EN
Centrophorus,lusitanicus,VU
Centrophorus,squamosus,VU
Cetorhinus,maximus,VU
Chaenogaleus,macrostoma,VU
Diplobatis,colombiensis,VU
Diplobatis,guamachensis,VU
Diplobatis,ommata,VU
Diplobatis,pictus,VU
Dipturus,australis,VU
Dipturus,batis,CR
Dipturus,canutus,EN
Dipturus,confusus,CR
Dipturus,crosnieri,VU
Dipturus,laevis,EN
Dipturus,mennii,VU
Dipturus,trachydermus,VU
Electrolux,addisoni,CR
Eusphyra,blochii,EN
Fluvitrygon,kittipongi,EN
Fluvitrygon,oxyrhyncha,EN
Fluvitrygon,signifer,EN
Fontitrygon,colarensis,VU
Fontitrygon,garouaensis,VU
Fontitrygon,margarita,EN
Fontitrygon,ukpam,EN
Galeorhinus,galeus,VU
Galeus,mincaronei,VU
Glaucostegus,cemiculus,EN
Glaucostegus,granulatus,VU
Glaucostegus,obtusus,VU
Glaucostegus,thouin,VU
Glaucostegus,typus,VU
Glyphis,gangeticus,CR
Glyphis,garricki,CR
Glyphis,glyphis,EN
Glyphis,siamensis,CR
Gurgesiella,dorsalifera,VU
Gymnura,altavela,VU
Gymnura,zonura,VU
Haploblepharus,fuscus,VU
Haploblepharus,kistnasamyi,CR
Hemigaleus,microstoma,VU
Hemipristis,elongata,VU
Hemiscyllium,hallstromi,VU
Hemiscyllium,strahani,VU
Hemitriakis,leucoperiptera,EN
Hemitrygon,fluviorum,VU
Hemitrygon,laosensis,EN
Heteronarce,garmani,VU
Himantura,leoparda,VU
Himantura,uarnak,VU
Himantura,undulata,VU
Holohalaelurus,favus,EN
Holohalaelurus,punctatus,EN
Hydrolagus,ogilbyi,VU
Isogomphodon,oxyrhynchus,CR
Isurus,oxyrinchus,VU
Isurus,paucus,VU
Lamiopsis,temminckii,EN
Lamna,nasus,VU
Leucoraja,circularis,EN
Leucoraja,fullonica,VU
Leucoraja,melitensis,CR
Leucoraja,ocellata,EN
Maculabatis,gerrardi,VU
Maculabatis,pastinacoides,VU
Malacoraja,senta,EN
Manta,alfredi,VU
Manta,birostris,VU
Mobula,mobular,EN
Mobula,rochebrunei,VU
Mobula,tarapacana,VU
Mustelus,fasciatus,CR
Mustelus,mustelus,VU
Mustelus,schmitti,EN
Mustelus,whitneyi,VU
Narcine,bancroftii,CR
Narcine,brevilabiata,VU
Narke,japonica,VU
Nebrius,ferrugineus,VU
Negaprion,acutidens,VU
Odontaspis,ferox,VU
Oxynotus,centrina,VU
Pastinachus,solocirostris,EN
Pateobatis,fai,VU
Pateobatis,hortlei,VU
Pateobatis,jenkinsii,VU
Pateobatis,uarnacoides,VU
Platyrhina,sinensis,VU
Potamotrygon,tigrina,EN
Pristis,clavata,EN
Pristis,pectinata,CR
Pristis,pristis,CR
Pristis,zijsron,CR
Pseudobatos,horkelii,CR
Pseudoginglymostoma,brevicaudatum,VU
Raja,maderensis,VU
Raja,radula,EN
Raja,undulata,EN
Rhina,ancylostoma,VU
Rhincodon,typus,EN
Rhinobatos,albomaculatus,VU
Rhinobatos,irvinei,VU
Rhinobatos,jimbaranensis,VU
Rhinobatos,penggali,VU
Rhinobatos,rhinobatos,EN
Rhinoptera,brasiliensis,EN
Rhinoptera,javanica,VU
Rhinoraja,albomaculata,VU
Rhynchobatus,australiae,VU
Rhynchobatus,djiddensis,VU
Rhynchobatus,laevis,VU
Rhynchobatus,luebberti,EN
Rhynchobatus,sp. nov. A,VU
Rhynchobatus,springeri,VU
Rioraja,agassizii,VU
Rostroraja,alba,EN
Schroederichthys,saurisqualus,VU
Scylliogaleus,quecketti,VU
Sphyrna,lewini,EN
Sphyrna,mokarran,EN
Sphyrna,tudes,VU
Sphyrna,zygaena,VU
Spiniraja,whitleyi,VU
Squalus,acanthias,VU
Squalus,montalbani,VU
Squatina,aculeata,CR
Squatina,albipunctata,VU
Squatina,argentina,EN
Squatina,formosa,EN
Squatina,guggenheim,EN
Squatina,japonica,VU
Squatina,nebulosa,VU
Squatina,oculata,CR
Squatina,punctata,EN
Squatina,squatina,CR
Squatina,tergocellatoides,VU
Stegostoma,fasciatum,EN
Sympterygia,acuta,VU
Taeniurops,meyeni,VU
Temera,hardwickii,VU
Triakis,acutipinna,EN
Triakis,maculata,VU
Urogymnus,asperrimus,VU
Urogymnus,granulatus,VU
Urogymnus,lobistomus,VU
Urogymnus,polylepis,EN
Urolophus,bucculentus,VU
Urolophus,javanicus,CR
Urolophus,orarius,EN
Urolophus,sufflavus,VU
Urolophus,viridis,VU
Urotrygon,reticulata,VU
Urotrygon,simulatrix,VU
Zapteryx,brevirostris,VU
Zearaja,chilensis,VU
Zearaja,maugeana,EN
